CVTA_ID,SampleDateTime,ForkLength,LAD_Race,Genetic_Assignment,Prob_Assignment,Spring_Pop_Assignment,Facility,Date_Assigned
C250164CVP,2025-03-04T22:00:00Z,55,Fall,Fall,0.959,NA,CVP,2025-03-18
C250165CVP,2025-03-04T22:00:00Z,75,Spring,Fall,0.696,NA,CVP,2025-03-18
C250166CVP,2025-03-05T20:00:00Z,72,Spring,Fall,0.999,NA,CVP,2025-03-07
C250167CVP,2025-03-05T22:00:00Z,103,Winter,Winter,1,NA,CVP,2025-03-07
C250168CVP,2025-03-06T10:00:00Z,47,Fall,Fall,0.579,NA,CVP,2025-03-26
C250169CVP,2025-03-07T10:00:00Z,41,Fall,Fall,0.67,NA,CVP,2025-03-26
C250170CVP,2025-03-07T20:00:00Z,42,Fall,Fall,0.799,NA,CVP,2025-03-26
C250171CVP,2025-03-07T20:00:00Z,41,Fall,Fall,0.803,NA,CVP,2025-03-26
C250173CVP,2025-03-08T02:00:00Z,59,Fall,Fall,0.611,NA,CVP,2025-03-26
C250174CVP,2025-03-08T04:00:00Z,48,Fall,Fall,0.846,NA,CVP,2025-03-26
C250175CVP,2025-03-08T04:00:00Z,62,Fall,Fall,0.867,NA,CVP,2025-03-26
C250176CVP,2025-03-08T16:00:00Z,97,Spring,Spring,0.995,Feather River,CVP,2025-03-10
C250178CVP,2025-03-08T20:00:00Z,125,Winter,Winter,1,NA,CVP,2025-03-12
C250179CVP,2025-03-09T06:00:00Z,57,Fall,Fall,0.994,NA,CVP,2025-03-26
C250180CVP,2025-03-09T06:00:00Z,60,Fall,Fall,0.983,NA,CVP,2025-03-26
C250181CVP,2025-03-09T08:00:00Z,59,Fall,Spring,0.955,Feather River,CVP,2025-03-26
C250182CVP,2025-03-09T14:00:00Z,53,Fall,Fall,0.95,NA,CVP,2025-03-26
C250185CVP,2025-03-09T20:00:00Z,73,Spring,Spring,0.428,Feather River,CVP,2025-03-18
C250183CVP,2025-03-09T20:00:00Z,52,Fall,Fall,0.477,NA,CVP,2025-03-26
C250184CVP,2025-03-09T20:00:00Z,50,Fall,Fall,0.893,NA,CVP,2025-03-26
C250186CVP,2025-03-09T22:00:00Z,43,Fall,Fall,0.8,NA,CVP,2025-03-26
C250187CVP,2025-03-09T22:00:00Z,46,Fall,Fall,0.415,NA,CVP,2025-03-26
C250188CVP,2025-03-09T23:59:00Z,49,Fall,Fall,0.97,NA,CVP,2025-03-26
C250189CVP,2025-03-10T02:00:00Z,103,Winter,Spring,0.756,Feather River,CVP,2025-03-12
C250190CVP,2025-03-10T04:00:00Z,46,Fall,Fall,0.923,NA,CVP,2025-03-26
C250191CVP,2025-03-10T04:00:00Z,52,Fall,Fall,0.505,NA,CVP,2025-03-26
C250192CVP,2025-03-10T06:00:00Z,84,Spring,Fall,0.693,NA,CVP,2025-03-18
C250193CVP,2025-03-10T20:00:00Z,41,Fall,Fall,0.626,NA,CVP,2025-03-26
C250194CVP,2025-03-10T22:00:00Z,41,Fall,Fall,0.997,NA,CVP,2025-03-26
C250195CVP,2025-03-10T23:59:00Z,108,Winter,Spring,0.888,Feather River,CVP,2025-03-12
C250197CVP,2025-03-11T06:00:00Z,45,Fall,Fall,0.607,NA,CVP,2025-03-26
C250198CVP,2025-03-11T08:00:00Z,47,Fall,Fall,0.622,NA,CVP,2025-03-26
C250199CVP,2025-03-12T08:00:00Z,43,Fall,Fall,0.667,NA,CVP,2025-03-26
C250200CVP,2025-03-12T20:00:00Z,47,Fall,Fall,0.861,NA,CVP,2025-03-26
C250201CVP,2025-03-12T22:00:00Z,65,Spring,Fall,0.957,NA,CVP,2025-03-18
C250202CVP,2025-03-12T22:00:00Z,59,Fall,Fall,0.994,NA,CVP,2025-03-26
C250203CVP,2025-03-13T08:00:00Z,123,Winter,Spring,1,Mill/Deer Creek Spring,CVP,2025-03-16
C250204CVP,2025-03-13T10:00:00Z,111,Winter,Spring,1,Feather River,CVP,2025-03-15
C250205CVP,2025-03-13T16:00:00Z,59,Fall,Fall,0.709,NA,CVP,2025-03-26
C250207CVP,2025-03-13T20:00:00Z,55,Fall,Fall,0.503,NA,CVP,2025-03-26
C250208CVP,2025-03-14T14:00:00Z,44,Fall,Fall,0.947,NA,CVP,2025-03-26
C250209CVP,2025-03-14T14:00:00Z,47,Fall,Fall,0.465,NA,CVP,2025-03-26
C250210CVP,2025-03-14T16:00:00Z,46,Fall,Fall,0.998,NA,CVP,2025-03-26
C250211CVP,2025-03-14T20:00:00Z,134,Winter,Fall,0.709,NA,CVP,2025-03-16
C250212CVP,2025-03-14T22:00:00Z,65,Spring,Fall,0.45,NA,CVP,2025-03-18
C250213CVP,2025-03-15T18:00:00Z,56,Fall,Fall,0.932,NA,CVP,2025-03-26
C250214CVP,2025-03-16T06:00:00Z,126,Winter,Winter,1,NA,CVP,2025-03-17
C250215CVP,2025-03-16T08:00:00Z,52,Fall,Spring,0.88,Feather River,CVP,2025-03-26
C250216CVP,2025-03-16T16:00:00Z,58,Fall,Fall,0.921,NA,CVP,2025-03-26
C250217CVP,2025-03-16T20:00:00Z,127,Winter,Winter,1,NA,CVP,2025-03-18
C250218CVP,2025-03-16T20:00:00Z,136,Winter,Winter,1,NA,CVP,2025-03-18
C250219CVP,2025-03-16T22:00:00Z,67,Spring,Fall,0.988,NA,CVP,2025-03-19
C250221CVP,2025-03-17T16:00:00Z,132,Winter,Fall,0.986,NA,CVP,2025-03-19
C250222CVP,2025-03-17T18:00:00Z,115,Winter,Winter,1,NA,CVP,2025-03-19
C250223CVP,2025-03-17T18:00:00Z,116,Winter,Fall,0.735,NA,CVP,2025-03-19
C250224CVP,2025-03-17T22:00:00Z,48,Fall,Fall,0.977,NA,CVP,2025-03-26
C250225CVP,2025-03-17T22:00:00Z,63,Fall,Fall,0.979,NA,CVP,2025-03-26
C250226CVP,2025-03-17T23:59:00Z,44,Fall,Fall,0.796,NA,CVP,2025-03-26
C250227CVP,2025-03-18T18:00:00Z,204,Winter,Fall,1,NA,CVP,2025-03-21
C250228CVP,2025-03-18T20:00:00Z,102,Spring,Spring,0.57,Feather River,CVP,2025-03-26
C250229CVP,2025-03-18T22:00:00Z,84,Spring,Spring,0.507,Feather River,CVP,2025-03-26
C250230CVP,2025-03-19T02:00:00Z,154,Winter,Fall,0.984,NA,CVP,2025-03-20
C250231CVP,2025-03-19T08:00:00Z,109,Winter,Winter,1,NA,CVP,2025-03-20
C250232CVPa,2025-03-19T10:00:00Z,76,Spring,Fall,0.871,NA,CVP,2025-03-26
C250233CVP,2025-03-19T14:00:00Z,58,Fall,Fall,0.995,NA,CVP,2025-04-14
C250234CVP,2025-03-19T18:00:00Z,52,Fall,Fall,0.989,NA,CVP,2025-04-14
C250235CVP,2025-03-19T20:00:00Z,71,Spring,Fall,0.964,NA,CVP,2025-04-14
C250237CVP,2025-03-19T20:00:00Z,48,Fall,Fall,0.929,NA,CVP,2025-04-14
C250236CVP,2025-03-19T20:00:00Z,87,Spring,Fall,0.798,NA,CVP,2025-04-14
C250238CVP,2025-03-19T22:00:00Z,51,Fall,Fall,0.923,NA,CVP,2025-04-14
C250239CVP,2025-03-20T16:00:00Z,117,Winter,Spring,0.998,Feather River,CVP,2025-03-23
C250240CVP,2025-03-20T22:00:00Z,51,Fall,Fall,0.775,NA,CVP,2025-04-14
C250241CVP,2025-03-20T22:00:00Z,58,Fall,Fall,0.444,NA,CVP,2025-04-14
C250242CVP,2025-03-21T14:00:00Z,52,Fall,Fall,0.719,NA,CVP,2025-04-14
C250244CVP,2025-03-21T20:00:00Z,65,Fall,Fall,0.99,NA,CVP,2025-04-14
C250243CVP,2025-03-21T20:00:00Z,59,Fall,Fall,0.827,NA,CVP,2025-04-14
C250245CVP,2025-03-22T02:00:00Z,120,Winter,Spring,1,Feather River,CVP,2025-03-24
C250246CVP,2025-03-22T06:00:00Z,90,Spring,Spring,0.814,Feather River,CVP,2025-04-14
C250247CVP,2025-03-22T20:00:00Z,110,Spring,Fall,0.45,NA,CVP,2025-04-14
C250248CVP,2025-03-22T23:59:00Z,59,Fall,Fall,0.918,NA,CVP,2025-04-14
C250250CVP,2025-03-23T04:00:00Z,55,Fall,Fall,0.93,NA,CVP,2025-04-14
C250251CVP,2025-03-23T04:00:00Z,52,Fall,Fall,0.405,NA,CVP,2025-04-14
C250249CVP,2025-03-23T04:00:00Z,133,Winter,Fall,0.999,NA,CVP,2025-03-24
C250252CVP,2025-03-23T06:00:00Z,58,Fall,Fall,0.853,NA,CVP,2025-04-14
C250253CVP,2025-03-23T06:00:00Z,68,Fall,Spring,0.555,Feather River,CVP,2025-04-14
C250254CVP,2025-03-23T23:59:00Z,89,Spring,Fall,0.868,NA,CVP,2025-04-14
C250255CVP,2025-03-24T02:00:00Z,57,Fall,Fall,0.916,NA,CVP,2025-04-14
C250256CVP,2025-03-24T04:00:00Z,64,Fall,Fall,0.588,NA,CVP,2025-04-14
C250257CVP,2025-03-24T06:00:00Z,82,Spring,Fall,0.973,NA,CVP,2025-04-14
C250258CVP,2025-03-24T08:00:00Z,114,Winter,Winter,1,NA,CVP,2025-03-26
C250259CVP,2025-03-24T12:00:00Z,66,Fall,Fall,0.758,NA,CVP,2025-04-14
C250261CVP,2025-03-24T20:00:00Z,105,Spring,Fall,0.934,NA,CVP,2025-04-14
C250260CVP,2025-03-24T20:00:00Z,64,Fall,Fall,0.639,NA,CVP,2025-04-14
C250262CVP,2025-03-24T22:00:00Z,97,Spring,Fall,0.581,NA,CVP,2025-04-14
C250263CVP,2025-03-24T23:59:00Z,90,Spring,Fall,0.989,NA,CVP,2025-04-14
C250264CVP,2025-03-24T23:59:00Z,101,Spring,Spring,0.93,Feather River,CVP,2025-04-14
C250265CVP,2025-03-25T12:00:00Z,86,Spring,Spring,0.961,Feather River,CVP,2025-04-14
C250266CVP,2025-03-25T20:00:00Z,84,Spring,Fall,0.872,NA,CVP,2025-04-14
C250267CVP,2025-03-25T23:59:00Z,97,Spring,Fall,0.792,NA,CVP,2025-04-14
C250268CVP,2025-03-26T04:00:00Z,83,Spring,Fall,0.999,NA,CVP,2025-04-14
C250269CVP,2025-03-26T04:00:00Z,85,Spring,Fall,0.558,NA,CVP,2025-04-14
C250270CVP,2025-03-27T02:00:00Z,100,Spring,Fall,0.495,NA,CVP,2025-04-14
C250275CVP,2025-03-27T04:00:00Z,100,Spring,Fall,0.974,NA,CVP,2025-04-14
C250274CVP,2025-03-27T04:00:00Z,60,Fall,Fall,0.846,NA,CVP,2025-04-14
C250271CVP,2025-03-27T04:00:00Z,104,Spring,Fall,0.763,NA,CVP,2025-04-14
C250273CVP,2025-03-27T04:00:00Z,61,Fall,Fall,0.743,NA,CVP,2025-04-14
C250272CVP,2025-03-27T04:00:00Z,103,Spring,Spring,0.463,Feather River,CVP,2025-04-14
C250276CVP,2025-03-27T06:00:00Z,86,Spring,Fall,0.952,NA,CVP,2025-04-14
C250277CVP,2025-03-27T22:00:00Z,95,Spring,Fall,0.795,NA,CVP,2025-04-14
C250325CVP,2025-03-28T20:00:00Z,102,Spring,Fall,0.713,NA,CVP,2025-04-14
C250326CVP,2025-03-29T06:00:00Z,105,Spring,Fall,0.627,NA,CVP,2025-04-14
C250328CVP,2025-03-29T16:00:00Z,100,Spring,Spring,0.999,Feather River,CVP,2025-04-14
C250327CVP,2025-03-29T16:00:00Z,109,Spring,Spring,0.702,Feather River,CVP,2025-04-14
C250329CVPa,2025-03-30T10:00:00Z,86,Spring,Fall,0.513,NA,CVP,2025-04-14
C250330CVP,2025-03-31T04:00:00Z,90,Spring,Fall,0.542,NA,CVP,2025-04-14
C250331CVP,2025-03-31T18:00:00Z,82,Spring,Fall,0.991,NA,CVP,2025-04-14
C250332CVP,2025-03-31T18:00:00Z,86,Spring,Fall,0.959,NA,CVP,2025-04-14
C250333CVP,2025-04-01T06:00:00Z,84,Spring,Fall,0.6,NA,CVP,2025-04-14
C250335CVP,2025-04-01T20:00:00Z,96,Spring,Fall,0.772,NA,CVP,2025-04-14
C250334CVP,2025-04-01T20:00:00Z,82,Spring,Fall,0.672,NA,CVP,2025-04-14
C250337CVP,2025-04-02T04:00:00Z,78,Spring,Fall,0.787,NA,CVP,2025-05-07
C250336CVP,2025-04-02T08:00:00Z,89,Spring,Fall,0.996,NA,CVP,2025-04-14
C250339CVP,2025-04-02T22:00:00Z,82,Spring,Fall,0.767,NA,CVP,2025-04-14
C250340CVP,2025-04-02T23:59:00Z,87,Spring,Spring,0.974,Feather River,CVP,2025-04-14
C250341CVP,2025-04-03T02:00:00Z,61,Fall,Fall,0.986,NA,CVP,2025-04-14
C250342CVP,2025-04-03T04:00:00Z,82,Spring,Spring,0.806,Feather River,CVP,2025-04-14
C250343CVP,2025-04-04T04:00:00Z,70,Fall,Fall,0.922,NA,CVP,2025-04-14
